q-max	action	timestep
1.969	RIGHT	84
1.958	FIRE	184
2.627	FIRE	305
2.099	NOOP	324
1.806	NOOP	373
1.989	NOOP	504
1.812	LEFT	593
2.612	LEFT	631
2.399	NOOP	674
1.978	NOOP	759
1.812	NOOP	817
2.491	LEFT	1051
2.027	NOOP	1091
2.386	LEFT	1201
2.463	LEFT	1308
3.133	FIRE	1376
2.986	LEFT	1574
2.532	FIRE	1622
2.871	FIRE	1853
2.958	FIRE	1860
3.327	LEFT	1875
2.737	LEFT	1972
2.477	LEFT	2035
2.195	LEFT	2077
0.690	RIGHT	2183
1.758	NOOP	2
1.737	NOOP	108
2.478	NOOP	296
1.678	RIGHT	366
1.793	NOOP	432
1.715	NOOP	545
2.354	NOOP	572
2.071	NOOP	1051
2.175	NOOP	1087
2.678	RIGHT	1142
2.193	NOOP	1496
2.363	FIRE	1633
2.697	RIGHT	1679
3.135	NOOP	1796
3.326	LEFT	1969
3.186	LEFT	2054
3.229	LEFT	2056
3.377	FIRE	2113
1.758	NOOP	3
2.563	FIRE	78
2.483	FIRE	171
2.234	RIGHT	194
2.153	NOOP	366
1.646	RIGHT	464
1.820	NOOP	485
2.545	FIRE	523
1.969	NOOP	640
1.778	NOOP	680
1.921	NOOP	809
1.998	NOOP	815
2.219	LEFT	824
2.159	NOOP	1019
2.648	LEFT	1052
2.266	NOOP	1091
2.025	NOOP	1387
2.559	FIRE	1623
2.555	LEFT	1702
1.955	NOOP	1736
2.244	LEFT	1752
2.269	NOOP	1836
3.312	FIRE	1983
3.146	LEFT	2065
7.084	NOOP	2200
7.032	NOOP	2205
3.539	NOOP	2260
3.539	NOOP	2367
3.539	NOOP	2593
3.539	NOOP	2703
3.539	NOOP	2718
3.539	NOOP	2861
3.539	NOOP	3076
3.539	NOOP	3092
4.434	FIRE	3313
2.042	RIGHT	119
2.642	FIRE	199
1.990	NOOP	214
2.486	LEFT	310
1.925	NOOP	347
2.521	LEFT	369
1.855	NOOP	456
2.469	NOOP	566
1.878	NOOP	588
2.687	NOOP	815
2.703	LEFT	962
3.088	FIRE	1260
2.050	LEFT	118
2.463	RIGHT	138
1.884	NOOP	160
2.615	LEFT	291
1.777	NOOP	452
1.936	RIGHT	916
2.062	NOOP	1030
2.023	RIGHT	1237
2.272	NOOP	1247
2.737	LEFT	1295
1.992	NOOP	1625
2.544	RIGHT	1646
2.722	FIRE	1742
1.964	NOOP	1760
2.185	NOOP	1805
2.137	NOOP	1854
5.760	NOOP	2120
5.760	NOOP	2126
5.760	NOOP	2135
5.760	NOOP	2150
5.760	NOOP	2197
5.760	NOOP	2202
1.768	NOOP	45
1.800	RIGHT	254
1.565	NOOP	330
1.503	NOOP	335
2.461	LEFT	658
1.957	LEFT	765
1.732	NOOP	991
1.685	NOOP	992
2.988	FIRE	1186
2.825	RIGHT	1222
2.726	FIRE	1324
3.156	FIRE	1515
3.386	FIRE	1656
2.563	FIRE	1728
2.415	NOOP	165
1.978	RIGHT	402
2.961	FIRE	658
2.481	RIGHT	1009
2.484	LEFT	1027
3.174	FIRE	1302
2.419	FIRE	1429
2.995	FIRE	1492
2.812	FIRE	1576
2.105	RIGHT	1584
2.321	FIRE	1624
2.012	NOOP	89
2.130	RIGHT	142
2.439	FIRE	560
2.141	NOOP	716
1.929	NOOP	742
1.827	NOOP	758
2.726	FIRE	799
2.510	LEFT	836
1.806	RIGHT	1174
1.906	LEFT	1178
1.966	NOOP	1312
2.495	LEFT	1477
1.989	NOOP	1495
2.454	LEFT	1631
2.354	RIGHT	1739
2.759	FIRE	1749
3.124	FIRE	1869
2.216	LEFT	1963
2.377	RIGHT	2031
2.632	FIRE	93
2.366	LEFT	265
1.629	NOOP	401
1.688	NOOP	463
1.724	NOOP	527
1.919	RIGHT	543
2.625	LEFT	694
2.677	NOOP	764
2.102	NOOP	874
2.236	FIRE	933
2.414	NOOP	1028
3.065	LEFT	1148
3.569	FIRE	1161
3.354	RIGHT	1178
2.470	NOOP	1599
4.159	FIRE	1828
4.251	FIRE	1833
3.480	RIGHT	1905
1.717	NOOP	2
2.547	FIRE	52
2.156	LEFT	131
2.849	RIGHT	202
1.814	NOOP	289
2.536	NOOP	370
1.739	NOOP	474
2.131	NOOP	518
2.586	FIRE	617
1.646	NOOP	682
1.788	NOOP	692
1.860	LEFT	835
2.257	NOOP	847
2.719	FIRE	895
2.391	NOOP	1111
